-25.103,-43.968,-52.998,-54.07,-54.246,-54.346,-54.439,-54.565,-54.688,-54.694,-54.55
-24.99,-43.063,-51.603,-52.627,-52.781,-52.895,-52.974,-53.065,-53.122,-53.168,-53.099
-24.942,-42.77,-51.266,-52.304,-52.464,-52.566,-52.642,-52.704,-52.785,-52.864,-52.87
-24.896,-42.551,-50.994,-52.02,-52.158,-52.266,-52.381,-52.463,-52.55,-52.697,-53.376
-24.803,-42.312,-50.735,-51.753,-51.941,-52.065,-52.164,-52.268,-52.393,-52.682,-55.305
-24.728,-42.114,-50.503,-51.534,-51.701,-51.818,-51.934,-52.065,-52.218,-52.681,-56.104
-24.629,-41.875,-50.288,-51.361,-51.551,-51.684,-51.808,-51.955,-52.133,-52.667,-56.406
-24.504,-41.7,-50.102,-51.14,-51.362,-51.503,-51.663,-51.84,-52.092,-52.684,-56.41
-24.428,-41.552,-49.997,-51.072,-51.301,-51.44,-51.626,-51.838,-52.095,-52.707,-56.547
-24.366,-41.463,-49.898,-50.995,-51.204,-51.395,-51.576,-51.798,-52.091,-52.708,-56.686
-24.304,-41.385,-49.882,-51.017,-51.266,-51.437,-51.62,-51.833,-52.103,-52.752,-56.945
-24.297,-41.36,-50.002,-51.054,-51.29,-51.442,-51.608,-51.817,-52.087,-52.755,-57.085
-24.468,-41.935,-50.073,-51.151,-51.402,-51.554,-51.696,-51.85,-52.072,-52.691,-57.047
-24.86,-42.063,-50.238,-51.301,-51.505,-51.663,-51.785,-51.906,-52.082,-52.608,-56.743
-24.897,-42.221,-50.5,-51.557,-51.762,-51.889,-52.004,-52.095,-52.166,-52.535,-55.65
-24.955,-42.348,-50.684,-51.705,-51.906,-52.027,-52.094,-52.183,-52.259,-52.423,-53.295
-25.095,-42.543,-50.913,-51.99,-52.134,-52.237,-52.306,-52.393,-52.433,-52.471,-52.502
-25.325,-42.709,-51.124,-52.232,-52.385,-52.436,-52.507,-52.581,-52.631,-52.66,-52.604
-25.564,-43.271,-52.014,-53.234,-53.413,-53.466,-53.5,-53.552,-53.591,-53.598,-53.494
